,PCF,VCF,PVCF,ACF,TRCF
2022-03-30,-0.12566626650660262,-0.18261704681872748,-0.20605042016806724,-0.12797118847539016,0.13267707082833133
2022-03-31,-0.09570228091236495,-0.15534213685474188,-0.15659063625450179,-0.10213685474189677,0.1833853541416567
2022-04-01,-0.1226890756302521,-0.1074189675870348,-0.16283313325330132,-0.09416566626650659,0.1894357743097239
2022-04-06,-0.08591836734693876,-0.06867346938775509,-0.0880612244897959,-0.06204081632653061,0.2390816326530612
2022-04-07,-0.05316326530612245,-0.014387755102040815,-0.05142857142857143,-0.002346938775510204,0.18122448979591835
2022-04-08,-0.1746938775510204,-0.06561224489795918,-0.14020408163265305,-0.11540816326530612,0.13163265306122449
2022-04-11,-0.11479591836734693,0.05183673469387754,-0.017040816326530612,-0.019285714285714285,0.15979591836734694
2022-04-12,-0.09061224489795917,-0.11275510204081632,-0.12122448979591835,-0.1377551020408163,-0.13326530612244897
2022-04-13,-0.009387755102040816,-0.06479591836734692,-0.04306122448979591,-0.025816326530612242,-0.13173469387755102
2022-04-14,0.056038415366146455,0.07591836734693877,0.08321728691476589,0.06036014405762304,0.04950780312124849
2022-04-15,0.20720288115246097,0.19615846338535411,0.2562785114045618,0.24254501800720288,-0.027611044417767107
2022-04-18,0.1872268907563025,0.0640096038415366,0.169171668667467,0.17896758703481394,-0.13267707082833133
2022-04-19,0.09118847539015605,0.08542617046818726,0.13930372148859543,0.146890756302521,-0.07947178871548619
2022-04-20,0.06929171668667466,0.13498199279711884,0.16187274909963983,0.1607202881152461,-0.09704681872749099
2022-04-21,0.08629051620648259,0.1210564225690276,0.14785114045618247,0.2026890756302521,-0.09080432172869149
2022-04-22,0.14304921968787515,0.08801920768307324,0.16168067226890756,0.15755102040816327,-0.19721488595438177
2022-04-25,0.16379351740696277,0.0887875150060024,0.15159663865546216,0.1811764705882353,-0.2675150060024009
2022-04-26,0.2956542617046819,0.23255702280912363,0.33454981992797117,0.3269627851140456,-0.13344537815126048
2022-04-27,0.410516206482593,0.32446578631452583,0.4787995198079231,0.4314525810324129,0.057190876350540217
2022-04-28,0.34175270108043215,0.2535894357743097,0.3723889555822329,0.35971188475390153,-0.027611044417767107
2022-04-29,0.42050420168067226,0.34357743097238896,0.47073229291716684,0.4028331332533013,0.08100840336134453
2022-05-05,0.30020408163265305,0.39867346938775505,0.3748979591836734,0.40959183673469385,-0.012346938775510203
2022-05-06,0.34549819927971187,0.25618247298919566,0.3604801920768307,0.3773829531812725,0.010708283313325332
2022-05-09,0.2587755102040816,0.253109243697479,0.30564225690276114,0.3241776710684274,-0.046530612244897955
2022-05-10,0.28364945978391354,0.18770708283313325,0.3061224489795918,0.27740696278511406,-0.0848499399759904
2022-05-11,0.36480192076830736,0.1985594237695078,0.3479951980792317,0.2927731092436974,-0.1007923169267707
2022-05-12,0.3715246098439376,0.08024009603841536,0.25935174069627853,0.17195678271308523,-0.20172869147659062
2022-05-13,0.10876350540216086,0.23611044417767107,0.21277310924369747,0.19020408163265307,0.03587034813925571
2022-05-16,0.1533253301320528,0.1940456182472989,0.2349579831932773,0.1884753901560624,0.03442977190876351
2022-05-17,0.11337334933973588,0.21613445378151258,0.2204561824729892,0.2689555822328931,0.14439375750300118
2022-05-18,0.11865546218487394,0.28220888355342133,0.28134453781512603,0.34885954381752704,0.22141656662665066
2022-05-19,0.03231692677070828,0.19058823529411767,0.19548619447779111,0.2167106842737095,0.17896758703481394
2022-05-20,0.16811524609843936,0.20528211284513803,0.2809603841536614,0.22660264105642255,0.11375750300120048
2022-05-23,0.27241296518607444,0.17647058823529413,0.2814405762304922,0.2035534213685474,0.08725090036014405
2022-05-24,0.3006482593037215,0.1144297719087635,0.27250900360144054,0.18415366146458584,-0.02156062424969988
2022-05-25,0.28172869147659063,0.11126050420168068,0.2566626650660264,0.19039615846338534,-0.01714285714285714
2022-05-26,0.2517647058823529,0.12729891956782713,0.24830732292917165,0.14948379351740695,-0.08292917166866745
2022-05-27,0.13210084033613445,0.05987995198079231,0.16043217286914768,0.11846338535414166,0.0030252100840336134
2022-05-30,0.14012341236721634,0.06511560903699293,0.1497755048572131,0.11971475909234765,0.024586424651135978
2022-05-31,0.07073229291716686,0.005426170468187274,0.07332533013205282,0.0534453781512605,-0.022328931572629048
2022-06-01,-0.027418967587034812,0.020600240096038412,0.008595438175270108,0.06823529411764705,0.09214885954381752
2022-06-02,-0.013685474189675868,0.011956782713085232,0.045954381752701084,0.037791116446578635,0.12153661464585833
2022-06-06,-0.00849939975990396,0.04211284513805522,0.07265306122448979,0.0923409363745498,0.06439375750300119
2022-06-07,-0.008595438175270108,0.14765906362545017,0.13334933973589436,0.14141656662665067,0.20806722689075627
2022-06-08,0.005618247298919568,0.19039615846338534,0.166578631452581,0.18559423769507805,0.14324129651860742
2022-06-09,0.0887875150060024,0.15774309723889554,0.2023049219687875,0.1997118847539016,-0.045954381752701084
2022-06-10,0.14477791116446578,0.22160864345738293,0.27202881152460984,0.2469627851140456,0.03289315726290516
2022-06-13,0.1929891956782713,0.1795438175270108,0.2630972388955582,0.29411764705882354,0.0887875150060024
2022-06-14,0.19654261704681872,0.20316926770708282,0.2749099639855942,0.3153421368547419,0.104921968787515
2022-06-15,0.33262905162064826,0.26376950780312125,0.36153661464585835,0.372484993997599,0.11807923169267706
2022-06-16,0.2776950780312125,0.25512605042016806,0.35779111644657857,0.33138055222088836,0.10885954381752701
2022-06-17,0.2093157262905162,0.35903961584633853,0.3554861944777911,0.40629051620648254,0.33685474189675874
2022-06-20,0.31620648259303724,0.42914765906362545,0.40302521008403364,0.4546938775510203,0.3363745498199279
2022-06-21,0.24504201680672266,0.4862905162064826,0.45767106842737093,0.5377671068427371,0.4599759903961584
2022-06-22,0.2028811524609844,0.49070828331332533,0.47515006002400956,0.526626650660264,0.5369027611044418
2022-06-23,0.24792316926770705,0.4721728691476591,0.4661224489795918,0.4840816326530612,0.5282593037214885
2022-06-24,0.28134453781512603,0.47793517406962777,0.4634333733493397,0.458343337334934,0.47006002400960384
2022-06-27,0.23630252100840335,0.3717166866746698,0.413109243697479,0.42924369747899155,0.3540456182472989
2022-06-28,0.13863145258103243,0.3328211284513805,0.3182232893157263,0.32686674669867943,0.33608643457382953
2022-06-29,0.20528211284513803,0.3241776710684274,0.34511404561824727,0.35846338535414163,0.25762304921968787
2022-06-30,0.26928571428571424,0.27836734693877546,0.33704081632653055,0.2847959183673469,0.14387755102040817
2022-07-01,0.3649939975990396,0.17810324129651858,0.2925810324129652,0.2226650660264106,0.01503001200480192
2022-07-04,0.4224249699879952,0.15553421368547415,0.3443457382953181,0.28614645858343335,0.037022809123649456
2022-07-05,0.3786314525810324,0.2167106842737095,0.3301320528211284,0.24062424969987994,0.08533013205282113
2022-07-06,0.2913325330132053,0.3335894357743097,0.35971188475390153,0.31390156062424973,0.15553421368547415
2022-07-07,0.2952701080432173,0.2703001200480192,0.3302280912364946,0.26252100840336134,0.13267707082833133
2022-07-08,0.17224489795918366,0.27644657863145256,0.270204081632653,0.2139255702280912,0.13210084033613445
2022-07-11,0.14352941176470588,0.3544297719087635,0.2775990396158463,0.21517406962785113,0.07370948379351741
2022-07-12,0.0954141656662665,0.24024009603841537,0.18184873949579833,0.12921968787515006,-0.04460984393757503
2022-07-13,0.037118847539015606,0.3020888355342137,0.20259303721488592,0.19894357743097235,0.08158463385354141
2022-07-14,0.13661464585834332,0.23198079231692675,0.21805522208883552,0.13123649459783912,0.042593037214885957
2022-07-15,0.1944297719087635,0.23572629051620647,0.27740696278511406,0.2103721488595438,-0.045858343337334934
2022-07-18,0.12825930372148858,0.2751020408163265,0.24917166866746698,0.1632172869147659,-0.034333733493397356
2022-07-19,0.09138055222088834,0.18415366146458584,0.1563985594237695,0.058727490996398554,-0.1908763505402161
2022-07-20,0.07015606242496998,0.2706842737094838,0.16869147659063624,0.04797118847539015,-0.14765906362545017
2022-07-21,0.06151260504201681,0.24725090036014405,0.11068427370948379,0.05651860744297719,-0.1897238895558223
2022-07-22,0.05104441776710684,0.3006482593037215,0.12864345738295319,0.07169267707082833,-0.13776710684273707
2022-07-25,0.07457382953181273,0.3670108043217286,0.23783913565426168,0.16417767106842737,-0.014357743097238897
2022-07-26,0.10770708283313324,0.3174549819927971,0.21834333733493394,0.1733013205282113,-0.07831932773109243
2022-07-27,0.13690276110444177,0.41944777911164466,0.2872989195678271,0.2790396158463385,-0.054405762304921966
